Time epoch,Time,Total-Station-Count,UL-Min-Requested,UL-Max-Requested,DL-Min-Requested,DL-Max-Requested,UL-Min-PDU,UL-Max-PDU,DL-Min-PDU,DL-Max-PDU,Attenuation,Name,Rx-Bps,Tx-Bps,Rx-Link-Rate,Tx-Link-Rate,RSSI,AP,Mode,MAC,Channel,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Ul-Rx-Drop_Percent,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,DL-Rx-Drop-Percent
1758022515,09_16_2025_17_05_15,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,5845936,58059,144.4 Mbps,19.5 Mbps,-56 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022515,09_16_2025_17_05_15,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,6423109,58876,130 Mbps,13 Mbps,-56 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022520,09_16_2025_17_05_20,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,7947157,70164,144.4 Mbps,6.5 Mbps,-58 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022520,09_16_2025_17_05_20,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,7947157,70164,144.4 Mbps,6.5 Mbps,-58 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022525,09_16_2025_17_05_25,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,8677527,76575,144.4 Mbps,19.5 Mbps,-58 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022525,09_16_2025_17_05_25,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,8762850,82071,11 Mbps,13 Mbps,-55 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022530,09_16_2025_17_05_30,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,9334667,100560,144.4 Mbps,13 Mbps,-59 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022530,09_16_2025_17_05_30,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,9390335,104650,130 Mbps,26 Mbps,-56 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022535,09_16_2025_17_05_35,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,9776246,119621,144.4 Mbps,13 Mbps,-58 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022535,09_16_2025_17_05_35,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,9776246,119621,144.4 Mbps,13 Mbps,-58 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022540,09_16_2025_17_05_40,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,9932729,121582,144.4 Mbps,19.5 Mbps,-58 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022540,09_16_2025_17_05_40,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,10072582,124995,144.4 Mbps,13 Mbps,-57 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022545,09_16_2025_17_05_45,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,10186094,128140,144.4 Mbps,13 Mbps,-59 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022545,09_16_2025_17_05_45,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,10186094,128140,144.4 Mbps,13 Mbps,-59 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
1758022550,09_16_2025_17_05_50,5,0,0,5000000,5000000,MTU,MTU,MTU,MTU,-1,1.1.sta2002,9794384,127731,11 Mbps,6.5 Mbps,-54 dBm,94:A6:7E:74:26:22,802.11bgn-AC 20 2x2,04:f0:21:89:c3:f4,11,0,0,0,0,0,0,0,0,0,0
