Time epoch,Rx-Bps,Tx-Bps,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,Rx-Bps-Diff,Tx-Bps-Diff,Rx-Latency-Diff,Rx-Jitter-Diff,Ul-Rx-Goodput-bps-Diff,Ul-Rx-Rate-ll-Diff,Ul-Rx-Pkts-ll-Diff,Dl-Rx-Goodput-bps-Diff,Dl-Rx-Rate-ll-Diff,Dl-Rx-Pkts-ll-Diff
1760599260,44850,118698,762,0,127124,131562,60,0,0,0,,,,,,,,,,
1760599265,121686,128132,594,0,156380,161478,142,0,0,0,76836.0,9434.0,-168.0,0.0,29256.0,29916.0,82.0,0.0,0.0,0.0
1760599270,35152420,438622,578,0,182864,188776,244,0,0,0,35030734.0,310490.0,-16.0,0.0,26484.0,27298.0,102.0,0.0,0.0,0.0
1760599275,35152420,438622,568,0,207022,213320,366,0,0,0,0.0,0.0,-10.0,0.0,24158.0,24544.0,122.0,0.0,0.0,0.0
1760599280,81919050,3052274,562,0,215230,223228,474,0,0,0,46766630.0,2613652.0,-6.0,0.0,8208.0,9908.0,108.0,0.0,0.0,0.0
1760599285,95986546,4229564,1122,0,223826,231716,590,0,0,0,14067496.0,1177290.0,560.0,0.0,8596.0,8488.0,116.0,0.0,0.0,0.0
1760599290,95986546,4229564,1686,0,233232,241008,716,0,0,0,0.0,0.0,564.0,0.0,9406.0,9292.0,126.0,0.0,0.0,0.0
1760599295,114037104,5451672,2250,0,239086,246598,838,0,0,0,18050558.0,1222108.0,564.0,0.0,5854.0,5590.0,122.0,0.0,0.0,0.0
1760599300,127179436,6344520,2814,0,239086,246598,838,0,0,0,13142332.0,892848.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760599305,127179436,6344520,2816,0,244718,251948,964,0,0,0,0.0,0.0,2.0,0.0,5632.0,5350.0,126.0,0.0,0.0,0.0
1760599310,128644456,6553740,2816,0,248380,256950,1088,0,0,0,1465020.0,209220.0,0.0,0.0,3662.0,5002.0,124.0,0.0,0.0,0.0
1760599315,136422348,7067600,2816,0,249252,257378,1200,0,0,0,7777892.0,513860.0,0.0,0.0,872.0,428.0,112.0,0.0,0.0,0.0
