Time epoch,Time,Total-Station-Count,UL-Min-Requested,UL-Max-Requested,DL-Min-Requested,DL-Max-Requested,UL-Min-PDU,UL-Max-PDU,DL-Min-PDU,DL-Max-PDU,Attenuation,Name,Rx-Bps,Tx-Bps,Rx-Link-Rate,Tx-Link-Rate,RSSI,AP,Mode,MAC,Channel,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Ul-Rx-Drop_Percent,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,DL-Rx-Drop-Percent
1760094338,10_10_2025_16_35_38,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,84196,5695445,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094343,10_10_2025_16_35_43,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,82800,5933705,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094348,10_10_2025_16_35_48,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,87627,7413208,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094353,10_10_2025_16_35_53,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,100785,13454709,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094358,10_10_2025_16_35_58,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,105184,17576668,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094363,10_10_2025_16_36_03,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,114428,21377283,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094368,10_10_2025_16_36_08,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,124424,25440764,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094374,10_10_2025_16_36_14,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,127815,28852719,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094379,10_10_2025_16_36_19,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,136930,31925384,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094384,10_10_2025_16_36_24,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,198626,61773258,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094389,10_10_2025_16_36_29,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,204153,64815552,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
1760094394,10_10_2025_16_36_34,4,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,eth2,211679,67376318,2.5 Gbps,2.5 Gbps,,,,9c:69:b4:63:72:ce,[channel: 2],0,0,0,0,0,0,0,0,0,0
