Download1.13 android samsung_one,Upload1.13 android samsung_one,Rx % Drop A 1.13 android samsung_one,Rx % Drop B1.13 android samsung_one,RSSI 1.13 android samsung_one ,Tx-Rate 1.13 android samsung_one ,Rx-Rate 1.13 android samsung_one ,Bssid 1.13 android samsung_one ,Download1.9 android SamsungA22,Upload1.9 android SamsungA22,Rx % Drop A 1.9 android SamsungA22,Rx % Drop B1.9 android SamsungA22,RSSI 1.9 android SamsungA22 ,Tx-Rate 1.9 android SamsungA22 ,Rx-Rate 1.9 android SamsungA22 ,Bssid 1.9 android SamsungA22 ,Overall Download,Overall Upload,Overall Rx % Drop A,Overall Rx % Drop B,Iteration,TIMESTAMP,Start_time,End_time,Remaining_Time,Incremental_list,Angle,status
0.0,0.0,0.0,0.0,-71,65 Mbps,65 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,1,03/09 12:08:06 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
0.0,0.0,0.0,0.0,-71,65 Mbps,65 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,1,03/09 12:08:07 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
0.0,0.0,0.0,0.0,-71,65 Mbps,65 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,1,03/09 12:08:08 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
0.0,0.0,0.0,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,1,03/09 12:08:09 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
10.83,0.0,43.45,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,10.83,0.0,43.45,43.45,1,03/09 12:08:10 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
11.51,0.0,13.83,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,11.51,0.0,13.83,13.83,1,03/09 12:08:11 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
11.51,0.0,13.83,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,11.51,0.0,13.83,13.83,1,03/09 12:08:12 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
11.51,0.01,13.83,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,11.51,0.01,13.83,13.83,1,03/09 12:08:13 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
8.76,0.0,15.11,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,8.76,0.0,15.11,15.11,1,03/09 12:08:14 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
7.97,0.0,15.2,0.0,-68,39 Mbps,39 Mbps,B2:9C:25:69:F3:A1,0.0,0.0,0.0,0.0,-67,78 Mbps,78 Mbps,B2:9C:25:69:F3:A1,7.97,0.0,15.2,15.2,1,03/09 12:08:15 PM,03/09 12:07:57 PM,03/09 12:08:57 PM,<1 min,2,0,Running
