Download1.14 android SamsungA22,Upload1.14 android SamsungA22,Rx % Drop A 1.14 android SamsungA22,Rx % Drop B1.14 android SamsungA22,RSSI 1.14 android SamsungA22 ,Tx-Rate 1.14 android SamsungA22 ,Rx-Rate 1.14 android SamsungA22 ,Bssid 1.14 android SamsungA22 ,Overall Download,Overall Upload,Overall Rx % Drop A,Overall Rx % Drop B,Iteration,TIMESTAMP,Start_time,End_time,Remaining_Time,Incremental_list,status
0.0,0.0,0.0,0.0,-29,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:13 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:14 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:15 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:16 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:17 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:18 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:19 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,180 Mbps,180 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:20 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:21 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:23 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:24 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:25 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:26 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:27 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
0.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,0.0,0.0,0.0,0.0,1,03/09 05:25:28 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.99,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.99,0.0,0.0,0.0,1,03/09 05:25:29 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:30 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.01,0.0,0.0,1,03/09 05:25:31 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:32 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.91,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.91,0.0,0.0,0.0,1,03/09 05:25:33 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.24,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.24,0.0,0.0,0.0,1,03/09 05:25:34 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.13,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.13,0.0,0.0,0.0,1,03/09 05:25:35 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.17,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.17,0.01,0.0,0.0,1,03/09 05:25:36 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.16,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.16,0.0,0.0,0.0,1,03/09 05:25:37 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.05,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.05,0.0,0.0,0.0,1,03/09 05:25:38 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.05,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.05,0.0,0.0,0.0,1,03/09 05:25:39 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.98,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.98,0.01,0.0,0.0,1,03/09 05:25:41 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.02,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.02,0.0,0.0,0.0,1,03/09 05:25:42 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.99,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.99,0.0,0.0,0.0,1,03/09 05:25:43 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:44 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.01,0.01,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.01,0.01,0.0,0.0,1,03/09 05:25:45 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.01,0.0,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.01,0.0,0.0,0.0,1,03/09 05:25:46 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:47 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.01,0.0,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.01,0.0,0.0,0.0,1,03/09 05:25:48 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.97,0.0,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.97,0.0,0.0,0.0,1,03/09 05:25:49 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.01,0.0,0.0,-41,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.01,0.0,0.0,1,03/09 05:25:50 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.01,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.01,0.0,0.0,0.0,1,03/09 05:25:51 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:52 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:53 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.01,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.01,0.0,0.0,0.0,1,03/09 05:25:54 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:55 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:56 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:25:57 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.01,0.0,0.0,1,03/09 05:25:58 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.99,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.99,0.01,0.0,0.0,1,03/09 05:25:59 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.01,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.01,0.0,0.0,0.0,1,03/09 05:26:00 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.99,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.99,0.0,0.0,0.0,1,03/09 05:26:02 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:26:03 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.97,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.97,0.0,0.0,0.0,1,03/09 05:26:04 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.04,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.04,0.01,0.0,0.0,1,03/09 05:26:05 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:26:06 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:26:07 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.0,0.0,0.0,1,03/09 05:26:08 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.0,0.01,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.0,0.01,0.0,0.0,1,03/09 05:26:09 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
9.41,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,9.41,0.0,0.0,0.0,1,03/09 05:26:10 PM,03/09 05:25:11 PM,03/09 05:26:11 PM,<1 min,1,Running
10.14,0.0,0.0,0.0,-40,200 Mbps,200 Mbps,E0:46:EE:5A:40:01,10.14,0.0,0.0,0.0,1,03/09 05:26:12 PM,03/09 05:25:11 PM,03/09 05:26:12 PM,0,1,Stopped
