TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:17:05,0.0,0,0,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:10,0.0,0,0,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:16,0.0,0,0,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:22,0.0087,0,0,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:28,0.0087,0,0,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:33,0.0164,0,5288,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:39,1.0874,0,291755,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:45,3.0741,0,615869,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:50,3.953,0,701909,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:56,3.953,0,701909,34.42 Mbps,145 Mbps,-23
2025-09-24T13:18:02,5.0164,1,764675,34.42 Mbps,145 Mbps,-23
