TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:50:02,0,0,0,151 Mbps,145 Mbps,
2025-09-24T13:50:08,0,0,0,151 Mbps,145 Mbps,
2025-09-24T13:50:13,0,0,0,151 Mbps,145 Mbps,
2025-09-24T13:50:19,0,0,0,128.52 Mbps,128.52 Mbps,
2025-09-24T13:50:24,0,0,0,51.47 Mbps,130 Mbps,-23
2025-09-24T13:50:30,0,0,0,39.42 Mbps,145 Mbps,-24
2025-09-24T13:50:35,0,0,0,39.42 Mbps,145 Mbps,-24
2025-09-24T13:50:41,0,0,0,103.67 Mbps,145 Mbps,-53
2025-09-24T13:50:46,0,0,0,157.67 Mbps,145 Mbps,-27
2025-09-24T13:50:52,0,0,0,157.67 Mbps,145 Mbps,-23
2025-09-24T13:50:57,0,0,0,157.67 Mbps,145 Mbps,-23
