TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:50:02,0,0,0,144.4 Mbps,144.4 Mbps,-16
2025-09-24T13:50:08,0,0,0,144.4 Mbps,144.4 Mbps,-16
2025-09-24T13:50:13,0,0,0,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:19,981444,0,459614,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:24,1125660,0,403275,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:30,1214720,0,353956,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:35,1458540,0,357686,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:41,1673160,0,356351,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:46,1952020,0,362862,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:52,2188540,0,363409,144.4 Mbps,144 Mbps,-16
2025-09-24T13:50:57,2343300,0,350595,144.4 Mbps,144 Mbps,-16
