video_format_bitrate_vs_wlan0_http11_l4,total_wait_time_vs_wlan0_http11_l4,total_urls_vs_wlan0_http11_l4,RSSI_vs_wlan0_http11_l4,Link Speed_vs_wlan0_http11_l4,Total Buffer_vs_wlan0_http11_l4,Total Errors_vs_wlan0_http11_l4,Min_Video_Rate_vs_wlan0_http11_l4,Max_Video_Rate_vs_wlan0_http11_l4,Avg_Video_Rate_vs_wlan0_http11_l4,bytes_rd_vs_wlan0_http11_l4,rx rate_vs_wlan0_http11_l4 bps,frame_rate_vs_wlan0_http11_l4,Video Quality_vs_wlan0_http11_l4,overall_video_format_bitrate,timestamp,iteration,start_time,end_time,remaining_Time,status
0.0,0.0,0,-42,433 Mbps,1,0,0.0,0.0,0.0,0,0,-1,"1,920X1,080",0.0,17:32:10,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
0.0,0.0,0,-42,433 Mbps,1,0,0.0,0.0,0.0,0,0,-1,"1,920X1,080",0.0,17:32:11,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
0.0,0.0,0,-42,433 Mbps,1,0,0.0,0.0,0.0,0,0,-1,"1,920X1,080",0.0,17:32:13,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.33,0,-42,433 Mbps,1,0,6.22,6.22,1.555,0,0,-1,"1,920X1,080",6.22,17:32:14,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.33,0,-42,433 Mbps,1,0,6.22,6.22,2.488,0,0,-1,"1,920X1,080",6.22,17:32:16,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.33,0,-42,433 Mbps,1,0,6.22,6.22,3.11,0,0,-1,"1,920X1,080",6.22,17:32:17,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.33,0,-42,433 Mbps,1,0,6.22,6.22,3.5542857142857143,0,0,-1,"1,920X1,080",6.22,17:32:18,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.33,0,-42,433 Mbps,1,0,6.22,6.22,3.8874999999999997,0,0,-1,"1,920X1,080",6.22,17:32:20,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.33,0,-43,433 Mbps,1,0,6.22,6.22,4.1466666666666665,0,0,-1,"1,920X1,080",6.22,17:32:21,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,4.354,57672948,36020265,-1,"1,920X1,080",6.22,17:32:23,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,4.5236363636363635,57672948,36020265,-1,"1,920X1,080",6.22,17:32:24,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,4.665,57672948,36020265,-1,"1,920X1,080",6.22,17:32:25,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,4.7846153846153845,57672948,36020265,-1,"1,920X1,080",6.22,17:32:27,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,4.887142857142857,57672948,25884072,-1,"1,920X1,080",6.22,17:32:28,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,4.976,57672948,25884072,-1,"1,920X1,080",6.22,17:32:29,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,5.05375,57672948,25884072,-1,"1,920X1,080",6.22,17:32:31,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,5.12235294117647,57672948,20134566,-1,"1,920X1,080",6.22,17:32:32,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,5.183333333333334,57672948,20134566,-1,"1,920X1,080",6.22,17:32:34,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
6.22,0.55,0,-43,433 Mbps,1,0,6.22,6.22,5.237894736842105,57672948,20134566,-1,"1,920X1,080",6.22,17:32:35,1,2025-10-28 17:32:04,2025-10-28 17:33:04,< 1 min,Running
